ncols         6
nrows         13
xllcorner     150000
yllcorner     4198700
cellsize      100
NODATA_value  -9999
35	34	31	33.5	36	37
32.22843	31.24186	28.5	31.25999	32.96385	35
31.80586	30.76963	28	29.679477	31.12545	32.5
34	33.5	27.5	27	29.458415	30.76531
35	33	34	26.5	28.67086	29.783305
30.59955	29.368366	25.5	26	28.407378	31
27.771869	27.20416	25	26.867147	27.884638	28.939042
25.5	26.100089	24.5	26.150685	27.115566	27.739594
26.2914	25.555256	24	25.485017	26.567176	27.299616
27	25.209708	23.5	24.924793	26.336175	28
25.605343	24.488426	23	24.362053	25.490359	26.438411
24.338686	23.821578	22.5	23.825062	24.687194	25.262802
24	23.488017	22	23	24.5	25
