ncols         6
nrows         13
xllcorner     150000
yllcorner     4198700
cellsize      100
NODATA_value  -9999
85	84	81	83.5	86	87
82.22843	81.24186	78.5	81.25999	82.96385	85
81.80586	80.76963	78	79.679477	81.12545	82.5
84	83.5	77.5	77	79.458415	80.76531
85	83	84	76.5	78.67086	79.783305
80.59955	79.368366	75.5	76	78.407378	81
77.771869	77.20416	75	76.867147	77.884638	78.939042
75.5	76.100089	74.5	76.150685	77.115566	77.739594
76.2914	75.555256	74	75.485017	76.567176	77.299616
77	75.209708	73.5	74.924793	76.336175	78
75.605343	74.488426	73	74.362053	75.490359	76.438411
74.338686	73.821578	72.5	73.825062	74.687194	75.262802
74	73.488017	72	73	74.5	75
